First Name,Last Name,Position,Team,Cr
Taylor,Hendricks,Forward,Utah Jazz,"4,2"
Karlo,Matkovic,Forward,New Orleans Pelicans,"4,2"
Drew,Timme,Forward,Los Angeles Lakers,"4,2"
Nigel,Hayes-davis,Forward,Phoenix Suns,"4,2"
Khaman,Maluach,Center,Phoenix Suns,"4,2"
Javonte,Green,Guard,Detroit Pistons,"4,1"
Dalen,Terry,Forward,Chicago Bulls,"4,1"
Kenrich,Williams,Guard,Oklahoma City Thunder,"4,1"
Gradey,Dick,Guard,Toronto Raptors,"4,1"
Kobe,Bufkin,Guard,Memphis Grizzlies,"4,1"
Sidy,Cissoko,Guard,Portland Trail Blazers,"4,1"
Julian,Phillips,Forward,Chicago Bulls,"4,1"
Jaylen,Clark,Guard,Minnesota Timberwolves,"4,1"
Gui,Santos,Forward,Golden State Warriors,"4,1"
Tyler,Kolek,Guard,New York Knicks,"4,1"
Trey,Alexander,Guard,New Orleans Pelicans,"4,1"
Keshad,Johnson,Forward,Miami Heat,"4,1"
Kyle,Lowry,Guard,Philadelphia 76ers,4
Terry,Rozier,Guard,Miami Heat,4
Jae,Crowder,Forward,Sacramento Kings,4
James,Wiseman,Center,Indiana Pacers,4
Mason,Plumlee,Center,Charlotte Hornets,4
Maxi,Kleber,Forward,Los Angeles Lakers,4
Chris,Boucher,Forward,Boston Celtics,4
Dwight,Powell,Center,Dallas Mavericks,4
Jae'Sean,Tate,Forward,Houston Rockets,4
Billy,Donovan,Head Coach,Chicago Bulls,4
Patty,Mills,Guard,Los Angeles Clippers,4
James,Borrego,Head Coach,New Orleans Pelicans,4
Jonathan,Isaac,Forward,Orlando Magic,4
P.J.,Tucker,Forward,New York Knicks,4
Eric,Gordon,Guard,Philadelphia 76ers,4
Ousmane,Dieng,Forward,Oklahoma City Thunder,4
Xavier,Tillman,Forward,Boston Celtics,4
Brian,Keefe,Head Coach,Washington Wizards,4
Grant,Williams,Forward,Charlotte Hornets,4
Will,Hardy,Head Coach,Utah Jazz,4
Bismack,Biyombo,Center,San Antonio Spurs,4
Markelle,Fultz,Guard,Sacramento Kings,4
Taj,Gibson,Forward,Charlotte Hornets,4
Jeff,Green,Forward,Houston Rockets,4
Matisse,Thybulle,Forward,Portland Trail Blazers,4
Ochai,Agbaji,Guard,Toronto Raptors,4
Pat,Connaughton,Guard,Charlotte Hornets,4
Markieff,Morris,Forward,Los Angeles Lakers,4
Josh,Green,Guard,Charlotte Hornets,4
Joe,Ingles,Forward,Minnesota Timberwolves,4
Malaki,Branham,Forward,Washington Wizards,4
Caleb,Martin,Forward,Dallas Mavericks,4
Nah'shon,Hyland,Guard,Minnesota Timberwolves,4
Gary,Harris,Guard,Milwaukee Bucks,4
Amir,Coffey,Guard,Milwaukee Bucks,4
Landry,Shamet,Guard,New York Knicks,4
Jordan,McLaughlin,Guard,San Antonio Spurs,4
Isaiah,Livers,Forward,Phoenix Suns,4
Doug,McDermott,Forward,Sacramento Kings,4
Dario,Saric,Forward,Sacramento Kings,4
Torrey,Craig,Forward,Boston Celtics,4
Blake,Wesley,Guard,Portland Trail Blazers,4
Deandre,Jordan,Center,New Orleans Pelicans,4
Marjon,Beauchamp,Forward,Philadelphia 76ers,4
Garrett,Temple,Guard,Toronto Raptors,4
Damion,Lee,Guard,Phoenix Suns,4
Kevin,Knox II,Forward,Golden State Warriors,4
Taurean,Prince,Forward,Milwaukee Bucks,4
Thanasis,Antetokounmpo,Forward,Milwaukee Bucks,4
Patrick,Baldwin Jr,Forward,Los Angeles Clippers,4
David,Roddy,Forward,Toronto Raptors,4
Zeke,Nnaji,Forward,Denver Nuggets,4
Anthony,Gill,Forward,Washington Wizards,4
JD,Davison,Guard,Houston Rockets,4
TyTy,Washington,Guard,Los Angeles Clippers,4
Haywood,Highsmith,Forward,Brooklyn Nets,4
Kenyon,Martin Jr,Forward,Utah Jazz,4
Charles,Bassey,Center,Memphis Grizzlies,4
Jason,Preston,Guard,Los Angeles Clippers,4
Wendell,Moore,Guard,Detroit Pistons,4
JT,Thor,Forward,Washington Wizards,4
Jaden,Springer,Guard,New Orleans Pelicans,4
James,Johnson,Forward,Indiana Pacers,4
Braxton,Key,Forward,Golden State Warriors,4
Trevelin,Queen,Guard,Orlando Magic,4
Jamal,Cain,Forward,Orlando Magic,4
Caleb,Houstan,Guard,Atlanta Hawks,4
Lindy,Waters III,Forward,San Antonio Spurs,4
Micah,Potter,Center,San Antonio Spurs,4
