name,first_name,last_name,role,position_full,nba_team,nba_team_abbr,credits
Monte Morris,Monte,Morris,G,Guardia,Indiana Pacers,IND,4.3
Jeremiah Robinson-Earl,Jeremiah,Robinson-Earl,A,Ala,Indiana Pacers,IND,4.3
Larry Nance Jr,Larry,Nance Jr,A,Ala,Cleveland Cavaliers,CLE,4.3
Drew Eubanks,Drew,Eubanks,C,Centro,Sacramento Kings,SAC,4.3
John Konchar,John,Konchar,G,Guardia,Memphis Grizzlies,MEM,4.3
Georges Niang,Georges,Niang,A,Ala,Utah Jazz,UTA,4.3
Jevon Carter,Jevon,Carter,G,Guardia,Chicago Bulls,CHI,4.3
Kobe Brown,Kobe,Brown,A,Ala,Los Angeles Clippers,LAC,4.3
Nick Smith Jr,Nick,Smith Jr,G,Guardia,Los Angeles Lakers,LAL,4.3
Guerschon Yabusele,Guerschon,Yabusele,A,Ala,New York Knicks,NYK,4.3
Ja'kobe Walter,Ja'kobe,Walter,G,Guardia,Toronto Raptors,TOR,4.3
Branden Carlson,Branden,Carlson,C,Centro,Oklahoma City Thunder,OKC,4.3
Will Riley,Will,Riley,A,Ala,Washington Wizards,WAS,4.3
Brooks Barnhizer,Brooks,Barnhizer,A,Ala,Oklahoma City Thunder,OKC,4.3
Seth Curry,Seth,Curry,G,Guardia,Golden State Warriors,GSW,4.2
Garrison Mathews,Garrison,Mathews,G,Guardia,Indiana Pacers,IND,4.2
Keon Ellis,Keon,Ellis,G,Guardia,Sacramento Kings,SAC,4.2
Trayce Jackson-Davis,Trayce,Jackson-Davis,A,Ala,Golden State Warriors,GSW,4.2
Taylor Hendricks,Taylor,Hendricks,A,Ala,Utah Jazz,UTA,4.2
Karlo Matkovic,Karlo,Matkovic,A,Ala,New Orleans Pelicans,NOP,4.2
Drew Timme,Drew,Timme,A,Ala,Los Angeles Lakers,LAL,4.2
Nigel Hayes-davis,Nigel,Hayes-davis,A,Ala,Phoenix Suns,PHX,4.2
Khaman Maluach,Khaman,Maluach,C,Centro,Phoenix Suns,PHX,4.2
Javonte Green,Javonte,Green,G,Guardia,Detroit Pistons,DET,4.1
Dalen Terry,Dalen,Terry,A,Ala,Chicago Bulls,CHI,4.1
Kenrich Williams,Kenrich,Williams,G,Guardia,Oklahoma City Thunder,OKC,4.1
Gradey Dick,Gradey,Dick,G,Guardia,Toronto Raptors,TOR,4.1
Kobe Bufkin,Kobe,Bufkin,G,Guardia,Memphis Grizzlies,MEM,4.1
