First Name,Last Name,Position,Team,Cr,Team_abbr
Isaiah,Joe,Guardia,Oklahoma City Thunder,"6,8",OKC
Jaylin,Williams,Ala,Oklahoma City Thunder,"6,8",OKC
Bilal,Coulibaly,Guardia,Washington Wizards,"6,8",WAS
Mitchell,Robinson,Centro,New York Knicks,"6,7",NYK
A.J.,Green,Guardia,Milwaukee Bucks,"6,7",MIL
Dereck,Lively II,Centro,Dallas Mavericks,"6,7",DAL
Kevin,Huerter,Guardia,Chicago Bulls,"6,6",CHI
Ajay,Mitchell,Guardia,Oklahoma City Thunder,"6,6",OKC
Ryan,Dunn,Ala,Phoenix Suns,"6,6",PHX
Ace,Bailey,Ala,Utah Jazz,"6,6",UTA
Sam,Hauser,Ala,Boston Celtics,"6,5",BOS
Jordan,Walsh,Guardia,Boston Celtics,"6,5",BOS
Carlton,Carrington,Guardia,Washington Wizards,"6,5",WAS
Collin,Murray-boyles,Ala,Toronto Raptors,"6,5",TOR
Wooga,Poplar,Ala,Chicago Bulls,"6,5",CHI
Ryan,Nembhard,Guardia,Dallas Mavericks,"6,5",DAL
Jonas,Valanciunas,Centro,Denver Nuggets,"6,4",DEN
Klay,Thompson,Guardia,Dallas Mavericks,"6,4",DAL
Lonzo,Ball,Guardia,Cleveland Cavaliers,"6,4",CLE
Obi,Toppin,Ala,Indiana Pacers,"6,4",IND
Brice,Sensabaugh,Ala,Utah Jazz,"6,4",UTA
Nique,Clifford,Guardia,Sacramento Kings,"6,4",SAC
Buddy,Hield,Guardia,Golden State Warriors,"6,3",GSW
Aaron,Wiggins,Guardia,Oklahoma City Thunder,"6,3",OKC
Sandro,Mamukelashvili,Ala,Toronto Raptors,"6,3",TOR
Vince,Williams Jr,Guardia,Memphis Grizzlies,"6,3",MEM
Kris,Dunn,Guardia,Los Angeles Clippers,"6,3",LAC
Tre,Johnson,Guardia,Washington Wizards,"6,3",WAS
Bradley,Beal,Guardia,Los Angeles Clippers,"6,2",LAC
Jalen,Smith,Centro,Chicago Bulls,"6,2",CHI
Jock,Landale,Centro,Memphis Grizzlies,"6,2",MEM
Scotty,Pippen Jr,Guardia,Memphis Grizzlies,"6,2",MEM
Sam,Merrill,Guardia,Cleveland Cavaliers,"6,2",CLE
Luguentz,Dort,Guardia,Oklahoma City Thunder,"6,1",OKC
Day'ron,Sharpe,Centro,Brooklyn Nets,"6,1",BKN
Jordan,Goodwin,Guardia,Phoenix Suns,"6,1",PHX
Quinten,Post,Centro,Golden State Warriors,"6,1",GSW
Herbert,Jones,Ala,New Orleans Pelicans,6,NOP
Jeremy,Sochan,Ala,San Antonio Spurs,6,SAS
Trendon,Watford,Ala,Philadelphia 76ers,6,PHI
Keon,Johnson,Guardia,Brooklyn Nets,6,BKN
Ben,Sheppard,Guardia,Indiana Pacers,6,IND
Tristan,Da Silva,Ala,Orlando Magic,6,ORL
Danny,Wolf,Ala,Brooklyn Nets,6,BKN
Al,Horford,Centro,Golden State Warriors,"5,9",GSW
Caris,Levert,Guardia,Detroit Pistons,"5,9",DET
Marvin,Bagley III,Ala,Washington Wizards,"5,9",WAS
Bruce,Brown,Guardia,Denver Nuggets,"5,9",DEN
Jose,Alvarado,Guardia,New Orleans Pelicans,"5,9",NOP
Vit,Krejci,Guardia,Atlanta Hawks,"5,9",ATL
Jarace,Walker,Ala,Indiana Pacers,"5,9",IND
Jared,Mccain,Guardia,Philadelphia 76ers,"5,9",PHI
Jamal,Shead,Guardia,Toronto Raptors,"5,9",TOR
Clint,Capela,Centro,Houston Rockets,"5,8",HOU
Marcus,Smart,Guardia,Los Angeles Lakers,"5,8",LAL
Mike,Conley,Guardia,Minnesota Timberwolves,"5,8",MIN
Gary,Payton II,Guardia,Golden State Warriors,"5,8",GSW
Ty,Jerome,Guardia,Memphis Grizzlies,"5,7",MEM
Kam,Jones,Guardia,Indiana Pacers,"5,7",IND
Jake,Laravia,Ala,Los Angeles Lakers,"5,6",LAL
Pelle,Larsson,Guardia,Miami Heat,"5,6",MIA
Malcolm,Brogdon,Guardia,New York Knicks,"5,5",NYK
Cole,Anthony,Guardia,Milwaukee Bucks,"5,5",MIL
Jaxson,Hayes,Centro,Los Angeles Lakers,"5,5",LAL
Isaiah,Jackson,Ala,Indiana Pacers,"5,5",IND
Cam,Whitmore,Ala,Washington Wizards,"5,5",WAS
Kasparas,Jakucionis,Guardia,Miami Heat,"5,5",MIA
Jordan,Clarkson,Guardia,New York Knicks,"5,4",NYK
Alex,Caruso,Guardia,Oklahoma City Thunder,"5,4",OKC
Corey,Kispert,Ala,Washington Wizards,"5,4",WAS
Dru,Smith,Guardia,Miami Heat,"5,4",MIA
Dominick,Barlow,Ala,Philadelphia 76ers,"5,4",PHI
Daniss,Jenkins,Guardia,Detroit Pistons,"5,4",DET
Johni,Broome,Centro,Philadelphia 76ers,"5,4",PHI
Caleb,Love,Guardia,Portland Trail Blazers,"5,4",POR
Gary,Trent Jr,Guardia,Milwaukee Bucks,"5,3",MIL
Kentavious,Caldwell-Pope,Guardia,Memphis Grizzlies,"5,3",MEM
Simone,Fontecchio,Ala,Miami Heat,"5,3",MIA
Nikola,Jovic,Ala,Miami Heat,"5,3",MIA
Justin,Champagnie,Guardia,Washington Wizards,"5,3",WAS
Tyrese,Martin,Ala,Brooklyn Nets,"5,3",BKN
Mouhamed,Gueye,Ala,Atlanta Hawks,"5,3",ATL
Chris,Paul,Guardia,Los Angeles Clippers,"5,2",LAC
Jaden,Ivey,Guardia,Detroit Pistons,"5,2",DET
Derrick,Jones Jr,Ala,Los Angeles Clippers,"5,2",LAC
Ziaire,Williams,Ala,Brooklyn Nets,"5,2",BKN
Brandon,Williams,Guardia,Dallas Mavericks,"5,2",DAL
Josh,Minott,Ala,Boston Celtics,"5,2",BOS
Ron,Holland II,Ala,Detroit Pistons,"5,2",DET
Brook,Lopez,Centro,Los Angeles Clippers,"5,1",LAC
Paul,Reed,Ala,Detroit Pistons,"5,1",DET
Dean,Wade,Ala,Cleveland Cavaliers,"5,1",CLE
Josh,Okogie,Guardia,Houston Rockets,"5,1",HOU
Yang,Hansen,Centro,Portland Trail Blazers,"5,1",POR
Walter,Clayton Jr.,Guardia,Utah Jazz,"5,1",UTA
Will,Richard,Guardia,Golden State Warriors,"5,1",GSW
Isaac,Okoro,Ala,Chicago Bulls,5,CHI
Jared,Butler,Guardia,Phoenix Suns,5,PHX
